index,ROA(C) before interest and depreciation before interest,ROA(A) before interest and % after tax,ROA(B) before interest and depreciation after tax,Operating Gross Margin,Realized Sales Gross Margin,Operating Profit Rate,Pre-tax net Interest Rate,After-tax net Interest Rate,Non-industry income and expenditure/revenue,Continuous interest rate (after tax),Operating Expense Rate,Research and development expense rate,Cash flow rate,Interest-bearing debt interest rate,Tax rate (A),Net Value Per Share (B),Net Value Per Share (A),Net Value Per Share (C),Persistent EPS in the Last Four Seasons,Cash Flow Per Share,Revenue Per Share (Yuan ¥),Operating Profit Per Share (Yuan ¥),Per Share Net profit before tax (Yuan ¥),Realized Sales Gross Profit Growth Rate,Operating Profit Growth Rate,After-tax Net Profit Growth Rate,Regular Net Profit Growth Rate,Continuous Net Profit Growth Rate,Total Asset Growth Rate,Net Value Growth Rate,Total Asset Return Growth Rate Ratio,Cash Reinvestment %,Current Ratio,Quick Ratio,Interest Expense Ratio,Total debt/Total net worth,Debt ratio %,Net worth/Assets,Long-term fund suitability ratio (A),Borrowing dependency,Contingent liabilities/Net worth,Operating profit/Paid-in capital,Net profit before tax/Paid-in capital,Inventory and accounts receivable/Net value,Total Asset Turnover,Accounts Receivable Turnover,Average Collection Days,Inventory Turnover Rate (times),Fixed Assets Turnover Frequency,Net Worth Turnover Rate (times),Revenue per person,Operating profit per person,Allocation rate per person,Working Capital to Total Assets,Quick Assets/Total Assets,Current Assets/Total Assets,Cash/Total Assets,Quick Assets/Current Liability,Cash/Current Liability,Current Liability to Assets,Operating Funds to Liability,Inventory/Working Capital,Inventory/Current Liability,Current Liabilities/Liability,Working Capital/Equity,Current Liabilities/Equity,Long-term Liability to Current Assets,Retained Earnings to Total Assets,Total income/Total expense,Total expense/Assets,Current Asset Turnover Rate,Quick Asset Turnover Rate,Working capitcal Turnover Rate,Cash Turnover Rate,Cash Flow to Sales,Fixed Assets to Assets,Current Liability to Liability,Current Liability to Equity,Equity to Long-term Liability,Cash Flow to Total Assets,Cash Flow to Liability,CFO to Assets,Cash Flow to Equity,Current Liability to Current Assets,Liability-Assets Flag,Net Income to Total Assets,Total assets to GNP price,No-credit Interval,Gross Profit to Sales,Net Income to Stockholder's Equity,Liability to Equity,Degree of Financial Leverage (DFL),Interest Coverage Ratio (Interest expense to EBIT),Net Income Flag,Equity to Liability
ROA(C) before interest and depreciation before interest,1.0,0.941752132322626,0.9879330230382899,0.42724368047819766,0.42395851094681164,0.662850808957311,0.708710614666078,0.6984789406855657,0.3909757014600738,0.718072656967676,0.0683014374066455,0.10026947549411741,0.4524898742622302,0.04293829578736926,0.2746903685385309,0.5501662762824998,0.5504076294523813,0.5502265991287608,0.8615097769191572,0.49262447425229067,0.2173686192666991,0.7829733120455422,0.852537900630253,0.15050376018489783,0.3123453142751747,0.3536477212156686,0.35467233797495845,0.38544835636468905,0.024115177196744577,0.41863601699760417,0.543336836914265,0.3531839618157328,0.13182502827318168,0.1653426634682987,0.022898472946518224,-0.2949198533658869,-0.26470364218834413,0.2647036421883443,0.029543675267203442,-0.32299924704884986,-0.11132444302394093,0.7822838401996328,0.8489221059505052,-0.15224051533998034,0.22602522934924876,-0.001421856947275939,-0.1365367940630072,-0.06232743558368591,-0.0747372838175756,0.043193370209506914,0.020422713862815634,0.47696558475925616,-0.09768168424063542,0.26967247852161963,0.1988314309075305,0.10792173442899225,0.25234206351257643,0.15037081593860196,0.0792381071644782,-0.21161982184988237,0.4768127796459209,-0.05151168012790112,-0.0020770719903422693,0.05455408196127115,0.21806020603658796,-0.25588097363189405,0.003186573687148022,0.7666354192594897,0.7074347350459529,-0.24711832657480876,-0.0019147211419845954,-0.03026783521691636,-0.0009492827921906087,-0.04554681810592482,0.18535748745908132,-0.02062166707955222,0.05455408196127115,-0.25588097363189405,-0.13747503805737474,0.2534228204728979,0.2069865945632794,0.5105758386211562,0.24847617843512393,-0.26068075609567687,,0.9237879874692514,-0.01305831848354059,0.08497749967819442,0.4272468811309769,0.8316626686427774,-0.28348647249045805,-0.0438670079799227,0.05414412656036259,,0.10528707684028735
ROA(A) before interest and % after tax,0.941752132322626,1.0,0.9559965012078292,0.4195580309253441,0.4160696572073794,0.6843979622007913,0.7688973560164065,0.7715460748427239,0.47749576122130083,0.757448279825344,0.07664833513662797,0.07667691311334762,0.39925427445572154,0.04523202750952831,0.2467507394202421,0.5852703034733641,0.5855460569706472,0.5855800858454006,0.8698863458585349,0.43643967287336016,0.2478624331435411,0.7676505623138357,0.8724553551928105,0.14634460928059204,0.3173862563804964,0.38165004041338674,0.38431922140550245,0.39482507446663234,0.03420413607809825,0.43543766681759716,0.5691320685566433,0.31538954033268607,0.1503373142261812,0.1728034001636859,0.04761075057187592,-0.29541807267141634,-0.26128126123725326,0.26128126123725337,0.07621113853810477,-0.3341761317170212,-0.0799181844831436,0.7668154046368585,0.8683792953129132,-0.09810519806713115,0.24275611630782284,0.010019982755056828,-0.12886319017041017,-0.05569368209758085,-0.15369875254730073,0.0642548178004745,0.08744812239225153,0.5104142220600433,-0.10431638776927604,0.3166199522396098,0.22555715344155539,0.172732949978732,0.237725253918916,0.15804815037956305,0.07526694056741218,-0.18803209083052608,0.4304659769468052,-0.023311294142752258,-0.0031344156026271246,0.08663600901048248,0.2810254561774158,-0.23740867203368374,0.00994774064824612,0.8345462067763997,0.7401584637355826,-0.29549653928193786,-0.008523132731043036,-0.02943640876694888,0.04114796771939507,-0.04519449545239722,0.1825016696608485,-0.15393854039500682,0.08663600901048248,-0.23740867203368374,-0.18121523966237826,0.2500592010457191,0.19618753309620807,0.4490560650925156,0.24900659554967078,-0.2986195414336964,,0.987918690083577,-0.03461970513345913,0.07865990936539367,0.419562792569287,0.8981962781501978,-0.2785242509882631,-0.020542959598451156,0.07556664215135019,,0.10968320167459823
ROA(B) before interest and depreciation after tax,0.9879330230382899,0.9559965012078292,1.0,0.4325340237673996,0.4291221462026517,0.6713362342938974,0.7203438993775448,0.7225741367406263,0.398746918619962,0.7425241143308671,0.06551968170554356,0.09518925990702448,0.4520464326679016,0.04053959400716345,0.21704992383748956,0.5499907563815967,0.5502935884939067,0.550175123940473,0.861495516769518,0.483027725818913,0.20301158110145917,0.7644422107277499,0.8365076863619889,0.16182434739451657,0.31950995819983447,0.3670250009553696,0.36796884377739464,0.3993367368484876,0.02647671220865353,0.4256899783838077,0.5566182480526796,0.3507669697877556,0.13476202868034187,0.1646740952362126,0.032911063069738726,-0.3006209320748851,-0.26879248068359984,0.26879248068359995,0.030042635431261837,-0.3223484317578939,-0.11178161561364124,0.7635020414077448,0.8324959113791014,-0.15276460442319295,0.20889044804884657,0.003826586040451453,-0.13801511696177518,-0.05302763942181139,-0.06901422513598426,0.029905534751419462,0.01850545141928031,0.4786428753015635,-0.0886194116560751,0.27167010258200613,0.18600658024102623,0.10490951266588344,0.24585622673823293,0.15017243378242534,0.08002253384682165,-0.21862488058469134,0.47583088521089856,-0.0405707482699705,-0.005015877888311503,0.04946224535946787,0.22037859229804777,-0.26115642819475005,0.0006649560005522061,0.782294459518696,0.7107302470374298,-0.26601359663368446,-0.011232008241671138,-0.03463764211728274,0.007528657850001852,-0.044713301131825124,0.1816194480117005,-0.018893009210359118,0.04946224535946787,-0.26115642819475005,-0.1348292466811049,0.24985924361475087,0.20273138997242948,0.5057688242924537,0.24649845679618523,-0.26498478578816487,,0.9409992888212628,-0.011473577928585062,0.07965232173119664,0.4325375412980213,0.8519139009170525,-0.28768156822543706,-0.032658082383429314,0.06235733333157197,,0.10959601133211028
Operating Gross Margin,0.42724368047819766,0.4195580309253441,0.4325340237673996,1.0,0.9988435903221798,0.40510180927060874,0.35957411197174494,0.3547317509184707,0.11643462102884218,0.364481593652873,-0.3059711775587926,-0.029015990177026923,0.37383885520965776,0.014455432752339839,0.0639256707292046,0.19757895717446566,0.19771881622955978,0.19770417513625366,0.36682416271657203,0.2650540226202791,-0.1939722303727638,0.3858126739455583,0.34976829428424183,0.13332366030031,0.14159246369158254,0.1481719107183918,0.14592375968381116,0.14800039271264231,0.013205238517945687,0.195831349461138,0.22828019064552868,0.19466825659874934,0.37730734739245153,0.4006717962943705,-0.0015628625126073445,-0.3019721411351538,-0.37108920852286353,0.37108920852286403,0.04542393723498561,-0.27957478177515765,-0.18609703592809054,0.38597557437087404,0.3522600530389387,-0.233084195085772,-0.1815756300097049,0.054841292760287305,0.012602007843617015,0.06895925895964712,0.0018629578636459943,-0.2563505755233557,-0.2127180394925721,0.27633615675626705,-0.08939026143364402,0.33913780132669163,0.18959350674145037,0.10726186525317297,0.331065364208131,0.39464008842751486,0.27207691573375953,-0.3120521400258152,0.3793635108865797,-0.06783553985083925,0.04576373305272736,0.05421693645317796,0.21773965094772882,-0.2692641346843143,-0.002660225023107551,0.31593132005854124,0.2768560424863688,0.3495388998497217,-0.18762095126928596,-0.19419522179404874,0.3330488131218854,-0.09378507087773316,0.12934500427133244,-0.05387784653054961,0.05421693645317796,-0.2692641346843143,-0.18447488133708453,0.1442164048439781,0.1574334865184681,0.30064619779988355,0.11811344428542453,-0.3028067690558214,,0.42234783743440374,-0.08731742871848634,0.032490771467685205,0.999999984545077,0.3626140945767005,-0.2975254746484644,-0.053439661394310625,0.008173678292788592,,0.35377779101556506
Realized Sales Gross Margin,0.42395851094681164,0.4160696572073794,0.4291221462026517,0.9988435903221798,1.0,0.40297234974474316,0.3548689396848993,0.350116050744431,0.1102994913779756,0.3599391875847697,-0.3060941453605267,-0.02966736995227366,0.3744312677796153,0.014476033404264864,0.06335992240974374,0.19391148146301318,0.19405693015681635,0.19404085860269307,0.3632142498872407,0.2651854919779246,-0.1948328162402799,0.3843351538439314,0.34628870887605395,0.13221665044738454,0.14077441762254578,0.14697526478146827,0.14473976458764762,0.146795989920091,0.014063203536030591,0.19391573146191854,0.22658864616759372,0.19514337822178163,0.3774633942871662,0.4007310564062999,-0.0024978048582558147,-0.3020622673099631,-0.37143951678808107,0.3714395167880812,0.04668526650581178,-0.2790053017450764,-0.18627131416789833,0.3844895253026221,0.3487394475455294,-0.2333114264032188,-0.1823380403061352,0.05500787804871095,0.013092129722945793,0.06837200549028016,0.002088274560214061,-0.25685142217472784,-0.21277086111196925,0.2752779369802344,-0.08901899400006312,0.3395111928232831,0.18979622239489777,0.107745887671587,0.3319635927292374,0.39474461405774763,0.2729952995725732,-0.3118642936514029,0.3797892145304612,-0.06839036543026832,0.04633538356736284,0.05577385485591464,0.2178705718914226,-0.26911113452488816,-0.0028010011211673912,0.31258049135113486,0.27332955151557836,0.3513983862215291,-0.18784870955583086,-0.19419748089656402,0.33565213150804607,-0.09336419594939524,0.13176104923052917,-0.053803493600207385,0.05577385485591464,-0.26911113452488816,-0.18435026481566905,0.14442825654637942,0.15746269186470252,0.3008373278790929,0.11835052126836854,-0.30330244643306936,,0.41875172751082157,-0.08718956021824807,0.03167423651145783,0.9988434647848096,0.3594844827385512,-0.29761815677670683,-0.05300002019162445,0.007355804521107009,,0.35449106060885666
Operating Profit Rate,0.662850808957311,0.6843979622007913,0.6713362342938974,0.40510180927060874,0.40297234974474316,1.0,0.8428843592469667,0.8318696566879817,0.10680268971110998,0.8479468364731806,0.07979705808115845,0.1124987209684007,0.44768192164844783,0.006234831972162944,0.23342987620734343,0.38589159143522245,0.3861679317666472,0.3861451391796739,0.5449074881757616,0.35276908610953756,0.11760078173660486,0.5820853227338894,0.540626768921351,0.10461523506202476,0.2642711253510277,0.25971939917483544,0.2610405953350514,0.27435901952939706,0.09448766641328385,0.15772398904049098,0.31153651312971486,0.29959520783027005,0.06829758936439442,0.08536360708097547,0.08486872609190312,-0.1574356144906448,-0.12100948226421299,0.12100948226421311,-0.0013949904711686573,-0.17047248751565114,-0.03956102438803148,0.5825507454740435,0.5368711349779912,0.006802969399284477,0.158833173258961,-0.03320349675751637,-0.13491725679672958,-0.002191155326674306,-0.06954051885490058,0.04656570802703553,0.0891653909605316,0.5067300912344564,-0.08031662908661633,0.20807654361238628,0.15258734445215932,0.15024763778631883,0.12252865079022554,0.07272399506312412,0.02551288650746342,-0.07827884202714155,0.4395631795515141,0.014152475276365189,-0.002577979713779899,0.05157476197011675,0.20694959127944096,-0.11396409254027574,0.005823963465901112,0.6311705544592386,0.5142149785246021,-0.20314499517602214,-0.011927413701277976,0.016183975379372276,-0.11582626181970353,0.026575949412622132,0.18264766993620687,-0.07728785017405775,0.05157476197011675,-0.11396409254027574,-0.10115468549342113,0.15972737094453732,0.1421499628012928,0.43372831630680664,0.1487398151506127,-0.21195163077574447,,0.6827163155521656,-0.03755209516137946,0.034665278621475705,0.40511420940331067,0.6069970775370797,-0.142924371154986,0.009299530743000314,0.07960576325222823,,0.0015079555710208086
Pre-tax net Interest Rate,0.708710614666078,0.7688973560164065,0.7203438993775448,0.35957411197174494,0.3548689396848993,0.8428843592469667,1.0,0.992919111943278,0.5492759836591701,0.9661060182968492,0.08218541725740418,0.09321910406980985,0.3949156466836456,0.03614359393184424,0.2517115070841444,0.4565482523015908,0.4568490645630105,0.4567661925722001,0.610326494980392,0.3180403575735491,0.11982548925879814,0.49674635254030647,0.6220842906429158,0.0977787312329338,0.24540560435816966,0.34404685640977917,0.346274509955595,0.3472874615459009,0.10043941401355357,0.2177500132594605,0.38657475511807404,0.24490509030239788,0.09426167649964391,0.11335926362612615,0.09167792327583883,-0.2302644171997082,-0.19888059406988165,0.1988805940698819,0.026115242609698885,-0.24719276691820435,-0.028613399644128984,0.49710376539942086,0.618120327466618,-0.05698518156802494,0.13196821798416883,-0.00781426883155543,-0.09702195416842213,-0.02168522164173005,-0.10438177745044339,0.023003809087390213,0.06741416336046484,0.42861705396852295,-0.10178104936838711,0.19760563220879943,0.12705062626442665,0.08935129372797226,0.12449801640871339,0.103681039194973,0.02194648805457086,-0.1473801331857136,0.3810370864574173,0.003468559857624882,-0.009834203307283716,0.031074843981802908,0.18983764682806412,-0.1762343478755876,0.007115601049310638,0.6994593714420146,0.6405612467076006,-0.3120497807059196,-0.0022602628475303713,0.00248122540139905,-0.04514399914193025,-0.0003247393339823901,0.19570392208080728,-0.13543722591445886,0.031074843981802908,-0.1762343478755876,-0.14190255098138477,0.15506826585468472,0.12887491056077896,0.3720160920322369,0.14741771902708495,-0.23918974840678586,,0.7796468892361139,-0.02248137931548975,0.06294871748239808,0.3595825669321313,0.7055905648548685,-0.21457336700413995,0.013040858634357772,0.09661945004077724,,0.06931730387476788
After-tax net Interest Rate,0.6984789406855657,0.7715460748427239,0.7225741367406263,0.3547317509184707,0.350116050744431,0.8318696566879817,0.992919111943278,1.0,0.5535265788026804,0.9709082776369593,0.08084489956245568,0.09071582206719395,0.3871368858919866,0.033722636763450456,0.2172129561751869,0.4524437808091458,0.4528166243483286,0.4527320712727345,0.6055464679756893,0.30816875646755976,0.11920264760097664,0.4826791330795188,0.6089196352710545,0.10966339885738564,0.2486956108652797,0.3494412909067,0.3512757427945966,0.3535227126301525,0.0969075011254711,0.22835633179822007,0.39437844255251103,0.23853683717277113,0.09220391091233415,0.10985090933997535,0.0996084314796584,-0.22968812595011584,-0.1973937610008712,0.1973937610008716,0.026952675571593237,-0.24545781025343147,-0.03125751566457729,0.48288017904401637,0.6046916940181156,-0.05544223325798276,0.1315817825754017,-0.0034457370944639245,-0.10207865054581236,-0.01904133621332096,-0.1016276396675588,0.025047693142116533,0.06921511942220307,0.42536926131388303,-0.0984938046373574,0.19782088821614327,0.12403458447582552,0.08997939057870227,0.12295573368025098,0.10095682528939119,0.017904082818761657,-0.14672817135775681,0.3741660556006237,0.008712570138320752,-0.012609541517524516,0.030889849155750392,0.19089192884671136,-0.17539692942111534,0.007929843376125604,0.7031694695461729,0.6374575043348018,-0.31516994170339585,-0.0023028515886085567,0.0015199202382585365,-0.043553377707495664,0.0013912222294872431,0.18812514881484224,-0.1308481008664656,0.030889849155750392,-0.17539692942111534,-0.1373317790950237,0.151383294326765,0.12366028017996128,0.36278933126048823,0.1462330281089525,-0.24043398755117903,,0.7857200861245314,-0.019252216620906676,0.06021129530444452,0.35473977020064174,0.7153474974660412,-0.21362830230611213,0.02039813431783952,0.10137455817818987,,0.06885512970858743
Non-industry income and expenditure/revenue,0.3909757014600738,0.47749576122130083,0.398746918619962,0.11643462102884218,0.1102994913779756,0.10680268971110998,0.5492759836591701,0.5535265788026804,1.0,0.4855068469633203,0.03149956700342157,0.0031931898622122225,0.08500178761226604,0.06562809111125059,0.1374262014381454,0.3401615530259543,0.34026719230594926,0.34004174450228214,0.39882541848038455,0.09037224753049487,0.01820203986764852,0.0910753999459511,0.4274009758479421,0.019217846922738323,0.07511487957570463,0.25890880781537856,0.26091038124632854,0.23328711705188868,0.04570823876952756,0.19877980233951154,0.28382611296512805,0.0118028715863413,0.1043551606361302,0.12444430425077008,0.03793302423510988,-0.2320088066537879,-0.23751629573305005,0.23751629573305014,0.04712172870450422,-0.24741977592923048,0.01003620387203414,0.0910116918795721,0.42732488414819514,-0.15240691308452267,-0.01899217846576073,0.008814276928984547,0.005007497056779722,-0.05315545104618922,-0.08661134454847139,-0.05531653758135417,-0.017413634701846196,0.08437014303473224,-0.06867597230353653,0.06325266224861414,-0.0033425875123494256,-0.08711905461980393,0.048428964661694836,0.12149396885004231,0.029295306522032438,-0.20686421235863567,0.06155529144042466,-0.0329699031729962,-0.01293888436788005,-0.04027508390761274,0.042647611976106704,-0.1953105092356989,-0.0002971470221215168,0.4213647824529019,0.5146413884356007,-0.307457488665345,0.001936256751463731,-0.040077072224741626,0.12208724649712774,-0.05366902559813734,0.03970951192900381,-0.14076431956449112,-0.04027508390761274,-0.1953105092356989,-0.1408955498444652,0.03162736567404965,-0.009534628847579647,0.06116304809645347,0.03725095593633078,-0.1473186158688717,,0.4995685976682165,0.02961931626633755,0.06642264124278846,0.11643335659012638,0.4627777684186338,-0.22361280653268403,0.001439975103562553,0.06133133817544226,,0.18243360669820463
Continuous interest rate (after tax),0.718072656967676,0.757448279825344,0.7425241143308671,0.364481593652873,0.3599391875847697,0.8479468364731806,0.9661060182968492,0.9709082776369593,0.4855068469633203,1.0,0.0816781154476308,0.09776825370527813,0.39806070427407936,0.035638955338437125,0.21878293772274726,0.44994329383988696,0.45037364672229246,0.44970523502653725,0.6231316742575733,0.3191495174018483,0.1256714488371723,0.49801968628144183,0.6036293846946102,0.1088266509971335,0.2501743088675378,0.3322593234744911,0.3337743477469965,0.3612103394665138,0.08928397119983116,0.2245309606670722,0.37401688094459296,0.24683339233578644,0.0884794456077124,0.10888762059854365,0.09089998302382983,-0.22303755316932475,-0.19200580149724567,0.19200580149724578,0.0271466185395322,-0.24053758429980399,-0.039311096207636044,0.49816475100981183,0.5994307926429053,-0.051149663357934756,0.14061366687407992,-0.00453047663970996,-0.10021463805151377,-0.015212504850641588,-0.09745420265085723,0.030658767840062922,0.07278728296139826,0.4424513011394136,-0.10938969036041797,0.19667634318876429,0.13021974560895286,0.09442366777798071,0.12938433140167782,0.09879697736982165,0.020415067961687315,-0.1383797777287139,0.38715964356998117,0.006805422175250727,-0.0003211514638106066,0.03883394388681793,0.1901812430500968,-0.16891559915646628,0.005600264322381849,0.6947069859234899,0.6278213872861342,-0.2954691696217971,-0.002136562836170449,0.004800826360053355,-0.06086459223136369,0.008387233242603296,0.18178947322355707,-0.13121896725792134,0.03883394388681793,-0.16891559915646628,-0.13468279063429964,0.15227052476999103,0.12984207740918963,0.3762500984095445,0.1470547390966312,-0.23686538959970185,,0.7684601960709938,-0.025119507125526918,0.06654687354908491,0.36449025204246044,0.6984047591477057,-0.2084026630337309,0.013703542496365066,0.09173158793803857,,0.06484943623452137
