index,ROA(C) before interest and depreciation before interest,ROA(A) before interest and % after tax,ROA(B) before interest and depreciation after tax,Operating Gross Margin,Realized Sales Gross Margin,Operating Profit Rate,Pre-tax net Interest Rate,After-tax net Interest Rate,Non-industry income and expenditure/revenue,Continuous interest rate (after tax),Operating Expense Rate,Research and development expense rate,Cash flow rate,Interest-bearing debt interest rate,Tax rate (A),Net Value Per Share (B),Net Value Per Share (A),Net Value Per Share (C),Persistent EPS in the Last Four Seasons,Cash Flow Per Share,Revenue Per Share (Yuan ¥),Operating Profit Per Share (Yuan ¥),Per Share Net profit before tax (Yuan ¥),Realized Sales Gross Profit Growth Rate,Operating Profit Growth Rate,After-tax Net Profit Growth Rate,Regular Net Profit Growth Rate,Continuous Net Profit Growth Rate,Total Asset Growth Rate,Net Value Growth Rate,Total Asset Return Growth Rate Ratio,Cash Reinvestment %,Current Ratio,Quick Ratio,Interest Expense Ratio,Total debt/Total net worth,Debt ratio %,Net worth/Assets,Long-term fund suitability ratio (A),Borrowing dependency,Contingent liabilities/Net worth,Operating profit/Paid-in capital,Net profit before tax/Paid-in capital,Inventory and accounts receivable/Net value,Total Asset Turnover,Accounts Receivable Turnover,Average Collection Days,Inventory Turnover Rate (times),Fixed Assets Turnover Frequency,Net Worth Turnover Rate (times),Revenue per person,Operating profit per person,Allocation rate per person,Working Capital to Total Assets,Quick Assets/Total Assets,Current Assets/Total Assets,Cash/Total Assets,Quick Assets/Current Liability,Cash/Current Liability,Current Liability to Assets,Operating Funds to Liability,Inventory/Working Capital,Inventory/Current Liability,Current Liabilities/Liability,Working Capital/Equity,Current Liabilities/Equity,Long-term Liability to Current Assets,Retained Earnings to Total Assets,Total income/Total expense,Total expense/Assets,Current Asset Turnover Rate,Quick Asset Turnover Rate,Working capitcal Turnover Rate,Cash Turnover Rate,Cash Flow to Sales,Fixed Assets to Assets,Current Liability to Liability,Current Liability to Equity,Equity to Long-term Liability,Cash Flow to Total Assets,Cash Flow to Liability,CFO to Assets,Cash Flow to Equity,Current Liability to Current Assets,Liability-Assets Flag,Net Income to Total Assets,Total assets to GNP price,No-credit Interval,Gross Profit to Sales,Net Income to Stockholder's Equity,Liability to Equity,Degree of Financial Leverage (DFL),Interest Coverage Ratio (Interest expense to EBIT),Net Income Flag,Equity to Liability
ROA(C) before interest and depreciation before interest,1.0,0.9287855938596259,0.988555178004343,0.5057624977653442,0.503668131430978,0.8049586530148182,0.8399798969628559,0.8257568997519175,0.3772866930949829,0.8578093460862624,-0.03664477129146306,0.13804073668636346,0.4810537721103762,-0.12668110307949426,0.4591494504241139,0.594911610998434,0.5948015395196495,0.5941276409334197,0.9072008179576297,0.5263947452627024,0.3541460701857684,0.8341030879540794,0.893388815811736,0.4062223211165105,0.4242745244968819,0.46516762806744333,0.46429829554148133,0.4720196300531457,0.20914436922799773,0.637667628594233,0.4931514822315552,0.36446691676279397,0.2671974218938951,0.3297211396841637,0.1718395765408529,-0.2542159714809423,-0.25330449577489084,0.25330449577489084,0.09424972527338689,-0.3158746004161912,-0.11618847333414874,0.8338046395349287,0.8920150225433721,-0.08799679366181926,0.3066010238037996,0.08406567767136165,-0.08948885280950168,-0.09708371096978095,-0.03233776482144357,0.17727145199897903,0.04662605043869023,0.7078100951987103,-0.11574246419116424,0.26407353957802787,0.21913158866059568,0.11362648877223151,0.2875570207622854,0.30611891607594,0.2826923751070402,-0.1800763432646501,0.49576493285457496,-0.08430956663952115,-0.020379121166054986,0.05622562034896205,0.20015653043064985,-0.20760082853448356,-0.08603778318975244,0.8054460016958059,0.8179149420312032,-0.13009187854523882,-0.11783163314564402,-0.06724091643342507,0.14934600465758116,-0.09425730654251625,0.2144201492451595,-0.02135291630582141,0.05622562034896205,-0.20760082853448356,-0.10964596930899996,0.23247150965495908,0.22751184439784225,0.49869873413703014,0.22786057802400914,-0.2671966493494372,,0.9215756479347851,0.003832966067444817,0.19232424531467532,0.5057535250329565,0.8964210241800183,-0.2463481178865179,0.21705446110354068,0.17992047670494332,,0.25330266456293365
ROA(A) before interest and % after tax,0.9287855938596259,1.0,0.93889424723512,0.4999657126418975,0.49762170520645055,0.7989493783459192,0.8995075043046266,0.9000061739880462,0.4825463984292907,0.888373285358972,-0.022579812669102167,0.1072041979837362,0.4072678273800224,-0.10931023247351823,0.42925214428907477,0.6490843274003156,0.6489731772550309,0.6486965789051155,0.9459225214606323,0.46330135392442456,0.39576380151633134,0.8462236000925918,0.9548839249420403,0.4046741545359138,0.4216495270966811,0.5149962812185787,0.5149107132521121,0.4824961493018643,0.22103195845870308,0.6932350443567958,0.5287770380957221,0.29884476815017463,0.29967139646073404,0.34109186938999825,0.18495507002086234,-0.25196159039787086,-0.2511058617289721,0.2511058617289721,0.23070061479144358,-0.34134030535768073,-0.06885535032932306,0.8458641317204525,0.9537166592824021,-0.03555676309815963,0.3332768300497906,0.08577975069367497,-0.0896784889076399,-0.08762121210052605,-0.049632522446204135,0.199235933139681,0.1432686862103174,0.7479063653915403,-0.17249848895852396,0.3225410888523427,0.26245422863136764,0.196083619550828,0.2752588980889381,0.319137371602566,0.266182648674562,-0.15299388168274372,0.42778597541770597,-0.053524172478414817,0.02105156028366941,0.11063269933344128,0.273569049121467,-0.18993655925107586,-0.1535916447156705,0.866238897906752,0.892424752936418,-0.13796529065208826,-0.08651659500874381,-0.05073743576142614,0.19642457020279627,-0.0880815743450449,0.21217739794961593,-0.16812302230058268,0.11063269933344128,-0.18993655925107586,-0.16889849096764104,0.23208353150748703,0.22440810883591458,0.4195292178039552,0.22897682559428598,-0.29967114240930215,,0.991384154528917,0.024116243458784374,0.21314951812892297,0.49995871506793127,0.9691333727012368,-0.24384351245825817,0.23151680151556042,0.1866280963094892,,0.2510974537729402
ROA(B) before interest and depreciation after tax,0.988555178004343,0.93889424723512,1.0,0.5175960049443734,0.5154402711483563,0.8071823047903608,0.8428212369517607,0.8448498072571556,0.3778425937493405,0.8774633967800375,-0.03768695525544288,0.1368251890892209,0.47850120731831375,-0.12363739586548814,0.39029945120342324,0.5945617433098825,0.5944584915624623,0.5938347922723821,0.9136899890530563,0.5203424449645322,0.3402285285509428,0.8256571598194629,0.8848495395083594,0.41506321240036276,0.4298169040384469,0.48115404088668245,0.4802680138514663,0.4896753452817819,0.21020197065892968,0.6509675217696284,0.5085118983747487,0.36099045474981817,0.2698396301725913,0.3257735150354431,0.18241199787086612,-0.25987706682560247,-0.2589725470039266,0.2589725470039266,0.0937601963788854,-0.3136719595702146,-0.11688239393337584,0.8252760407254972,0.8833186461447049,-0.09287868617758234,0.2911877644359917,0.08880495187777968,-0.09378582314778322,-0.08762918210497903,-0.03445386425383577,0.16305254292106516,0.037784159612338684,0.701501385214957,-0.11153140825989653,0.2637672349509177,0.2073244970669047,0.11031358830808428,0.280407911506302,0.3026069902074929,0.28118589587854576,-0.18937211360110548,0.49173852884940644,-0.07691827291020703,-0.008508044876403229,0.055539088483573654,0.19827828882601317,-0.21615624775398398,-0.08194217052432803,0.8060465511505341,0.8278049894269478,-0.13306634737324674,-0.1137686757420522,-0.06490729193125266,0.1593978042957989,-0.09388785413047801,0.21689193627839534,-0.019442181701119218,0.055539088483573654,-0.21615624775398398,-0.10692508184758195,0.233708601294726,0.22763122924196597,0.4928171872321254,0.2298066226805614,-0.26983916806864383,,0.9304214396722291,0.014495483861908066,0.18342149953032708,0.5175873312459837,0.9043324977656506,-0.25189715923568023,0.22349494304713058,0.1879304795949107,,0.25896916168948186
Operating Gross Margin,0.5057624977653442,0.4999657126418975,0.5175960049443734,1.0,0.9989532217350668,0.6861940301267696,0.5886551852987315,0.5937465291552568,0.1143709253467852,0.6051403623355949,-0.20635592119067026,0.013604655193879593,0.39473410955382293,-0.19308101927598997,0.15957090444557842,0.25755500786458846,0.2575384894246679,0.25749070896393444,0.4471604345432846,0.31208842377992946,-0.15558033476670485,0.4797434658804399,0.430116670505445,0.29259104638794314,0.27481606332379765,0.2406384150752969,0.2393962995940292,0.24192403560524725,0.1244475867876176,0.32925758639202934,0.25281323658027416,0.25341868191155853,0.37691214295998876,0.3710638895368141,0.027877697957772687,-0.39381753951775983,-0.3924595388896565,0.3924595388896565,0.09627313478996796,-0.3634142929055596,-0.23030669879756865,0.4804178023173408,0.42968333403098447,-0.2565373379894585,-0.14232589989973654,-0.036269346389286736,0.04123254699147325,0.130991827249215,-0.07684360696246861,-0.25558253542986914,-0.3137113355164081,0.4083998561916074,-0.15108685366454183,0.32364231149243855,0.14521466438539593,0.10021821254929239,0.2777790025009443,0.3648910778871302,0.3578663139262673,-0.3364949085988505,0.39644609144111187,-0.14335063250720323,0.080154803047999,0.0687066292907453,0.21837852182853879,-0.3639509532040966,-0.16408281972183014,0.4392588618322879,0.3724437270394388,0.2976631072776575,-0.03401248811987098,-0.11849149948967942,0.4239822594082169,-0.138007904922487,0.13113245595354406,-0.01064426170178783,0.0687066292907453,-0.3639509532040966,-0.20229820317435004,0.12034608340733995,0.12703913192453334,0.3420305037133481,0.10974567780593864,-0.3769142638996363,,0.5104121502930742,-0.24857511183482495,0.09577261412678913,0.9999999034634404,0.45372374145310584,-0.3886387238459427,0.028859533860114812,0.007470228417439602,,0.39244863713188616
Realized Sales Gross Margin,0.503668131430978,0.49762170520645055,0.5154402711483563,0.9989532217350668,1.0,0.6862838962768303,0.5868635563592154,0.5919288080761129,0.11142068573515482,0.6032559936863294,-0.2065105220702259,0.013521326219211035,0.39635160051688906,-0.19349296254221587,0.15927240827428657,0.255910571381617,0.2558944980194763,0.2558325830702583,0.44464063929201697,0.3130044918255458,-0.15696668058776855,0.47908364120352964,0.4276837435457931,0.28982752632864045,0.27286033953986816,0.23860634177537113,0.23735920967591684,0.23946575734661674,0.12449140982403759,0.3266166529183003,0.250135253845018,0.25442955279439666,0.376920910244794,0.37070419092973234,0.026927934437320288,-0.39415249733110225,-0.39279439362409874,0.39279439362409874,0.09601956824120363,-0.3627187162590907,-0.23053256581902606,0.47974956345821235,0.42724508173096476,-0.25726726299617125,-0.14322000257728318,-0.036468926230339364,0.04143422111591122,0.1319490617665071,-0.07755876740077462,-0.2564833846009446,-0.31410831865245237,0.4081556934609764,-0.1507158156380198,0.32392412639297136,0.1451205285096844,0.10064345619512932,0.27806169351779986,0.36458159986939587,0.3579652784389378,-0.3365575749107076,0.3979593028736144,-0.14272517680798813,0.08075296505280476,0.06986344495729886,0.2186189156455498,-0.364139651698264,-0.16370956610866227,0.43758648822602747,0.3703336173830112,0.29946045625377565,-0.03421547837842711,-0.1186827638656327,0.4243404994265082,-0.13756992293543513,0.13101268074252337,-0.01029525292025213,0.06986344495729886,-0.364139651698264,-0.20204714987984726,0.12027454060612587,0.12697390227050162,0.3433742526969178,0.10960014426115215,-0.3769230294461982,,0.5082405072710329,-0.2487340080323136,0.09452565093458029,0.9989524340105758,0.45135471437302693,-0.3889753096928275,0.028749544594243878,0.006385710977003698,,0.3927835004969779
Operating Profit Rate,0.8049586530148182,0.7989493783459192,0.8071823047903608,0.6861940301267696,0.6862838962768303,1.0,0.835148801749465,0.821317228093236,0.14504105055353242,0.846879232836516,-0.09567327680077416,0.08276492132842392,0.4919761836175516,-0.12827140940928197,0.41867809761252184,0.5199293957766766,0.5198874485064867,0.5193302531760499,0.7730580791590964,0.4810809900451727,0.1903425612563073,0.860713401730793,0.7604072193359898,0.38840755286066414,0.4471125204858536,0.3816132381981252,0.38099600217975166,0.38547742566105186,0.20371730085268805,0.5090408016781011,0.3775435609950788,0.3533212762131862,0.3046562705626701,0.30662609882369674,0.20676976700634025,-0.25391813120256385,-0.25290418078267196,0.25290418078267196,0.07508211170738592,-0.2609889649241159,-0.11681023625702174,0.8608540416564755,0.7599823852977293,-0.07495650355490577,0.12032707709536858,0.047134139907906915,-0.053397569049801204,-0.010498496971466844,-0.09288088099265683,0.01845047200054298,0.0458157818096448,0.8225563493494249,-0.014973386321655143,0.29409475387732054,0.16030482365971035,0.14822559245862904,0.2133836307887648,0.28977971589246015,0.24396725482230638,-0.19563573966977513,0.4941935226760108,-0.04011766751282451,0.06521687810234912,0.06538094657045004,0.2375804224036016,-0.2195519590916714,-0.10782232266083619,0.7095610165178639,0.7434930567385866,-0.11415397878494886,-0.09945258759554496,-0.0976859596217044,0.28364176791634027,-0.07815658032728798,0.17748507019007398,-0.00909775893843775,0.06538094657045004,-0.2195519590916714,-0.1214905348922375,0.18023468980383192,0.1795439273989799,0.4729900847713923,0.1747926915765573,-0.3046590987330782,,0.7968786368145555,0.024533682951352186,0.16292778966390017,0.6861887417768673,0.7631731554850191,-0.24642248829836702,0.21879893889482477,0.18865975459456558,,0.25290527892478865
Pre-tax net Interest Rate,0.8399798969628559,0.8995075043046266,0.8428212369517607,0.5886551852987315,0.5868635563592154,0.835148801749465,1.0,0.9877231831899883,0.5513886741749695,0.9611761357212167,-0.08644927029053477,0.0921696208099558,0.4681007774727867,-0.16024668197290495,0.4435683030424463,0.6338056279750452,0.6337486971561671,0.6336797948806572,0.8493829805324723,0.44725665031165973,0.1517148255940816,0.7223856241721212,0.8676261647319021,0.3221988655555414,0.3538185431818195,0.45796379198429116,0.45786331757143556,0.422046559743806,0.22467512455305133,0.5820691321173864,0.44180698555229864,0.2798577223846335,0.3186198727305047,0.35010079162917823,0.19586019097928736,-0.34888873070392284,-0.347948726284618,0.347948726284618,0.18272527897785362,-0.3535240399160715,-0.05734486058422482,0.7220045278433035,0.8681197895508541,-0.1967458737439562,0.05377858948005149,0.02688296430624823,-0.023885848035629424,-0.033569225391721635,-0.1012187769123734,-0.07264135342262082,0.03301869200922712,0.6860554864240763,-0.05034701850815886,0.26232940118245984,0.11548682579949102,0.05377729720975283,0.2198191171232722,0.3272595859248423,0.2840942239236558,-0.2932477306407233,0.46351278047900774,-0.07756159111038817,0.007284194946008229,0.021670940726304936,0.181789845861434,-0.32377218875313907,-0.13128466060837798,0.8238016584094624,0.9049172348731483,-0.2634647615682432,-0.07171649189362403,-0.08031247844916925,0.29571184326342576,-0.11256539349152375,0.18795381018200522,-0.09714220421292055,0.021670940726304936,-0.32377218875313907,-0.1775218894454483,0.18453791214692825,0.1855507442329216,0.420432920548375,0.17731514631830225,-0.31862157666828966,,0.9076842417213986,0.0731788380758322,0.19730163846991083,0.5886456689644082,0.857255483446579,-0.34108409710089266,0.23406227922752074,0.18242823479238085,,0.34793694487457977
After-tax net Interest Rate,0.8257568997519175,0.9000061739880462,0.8448498072571556,0.5937465291552568,0.5919288080761129,0.821317228093236,0.9877231831899883,1.0,0.5518172449873954,0.9672247537331308,-0.08899518103747887,0.09022214741848635,0.4629377663922321,-0.15901433522287584,0.3618770507091431,0.6262396588399278,0.6261937392385895,0.6261786189653623,0.8431692097325507,0.43776167706830016,0.13336208124825158,0.7015092350317815,0.8487493627183442,0.3290339172100933,0.35475876997379574,0.47250221689573824,0.4705831014840295,0.43213122113643004,0.22237783276715536,0.5932590603657263,0.4557666772050163,0.2743463912016581,0.32128207500868994,0.3483977717277406,0.2012641780164861,-0.351974336164834,-0.35103445689489327,0.35103445689489327,0.18199710701869795,-0.34988969188363583,-0.06536503387359004,0.7010784902204784,0.849041110633674,-0.20389268077297937,0.037327403953446955,0.030852127097940364,-0.02783071725519129,-0.025346147925912853,-0.09436267332784178,-0.08659698730287298,0.020637328009095204,0.6679911330711276,-0.049375903990473986,0.26292495730985865,0.10988053226832054,0.0524188405689202,0.21894903932482496,0.326823304800637,0.28666755231599383,-0.3004529642333055,0.457378970050168,-0.07649165127570642,0.0157920980603813,0.02283449763677067,0.18074539885142588,-0.3298331137730798,-0.124619535019652,0.8157878114476441,0.906308245968508,-0.2615640545690202,-0.06504947183892924,-0.0802872808191,0.3049207113399212,-0.11586400736096553,0.18885358726422846,-0.09495302286504684,0.02283449763677067,-0.3298331137730798,-0.17275886659066203,0.18405369660981954,0.18449853331916988,0.4127069157643736,0.17722836640406742,-0.3212838366646523,,0.9103105173215503,0.0749778050988538,0.18933195899586247,0.5937370072249984,0.8594689427786815,-0.34416512093928153,0.23710960509919365,0.18650517234431943,,0.35102200229803
Non-industry income and expenditure/revenue,0.3772866930949829,0.4825463984292907,0.3778425937493405,0.1143709253467852,0.11142068573515482,0.14504105055353242,0.5513886741749695,0.5518172449873954,1.0,0.4891364552957556,0.0031492929884006223,0.06154918423695018,0.1505996614441346,-0.13579465758705658,0.26696032194654196,0.41362005462247625,0.4136171574565527,0.4133499878542181,0.4469628330033888,0.13549781120201954,0.07628056708064959,0.14523199842654472,0.4909882614989076,0.06396841316348392,0.05134326590647582,0.3004762620105658,0.3002824021035043,0.23602594487725145,0.13601983605519552,0.3507009308438228,0.2753787302533794,0.007597044979296483,0.19247666390015775,0.24553271395250362,0.14054387618083744,-0.2871932710600035,-0.28800231340966664,0.28800231340966664,0.2491326885858921,-0.3281906296419304,0.04681512217797397,0.14512895486158478,0.49274695674718405,-0.21373203348433548,0.019603933703121034,0.0040601236693654265,0.00034520541002384405,-0.07346859058951394,-0.07461737457738782,-0.07994596373194034,0.0345248714273125,0.15102945172892582,-0.11164757535727154,0.1213552145983898,0.059660621157204614,-0.04970658795388365,0.1272503208678161,0.2290000959114371,0.1844544067310453,-0.24008786064399376,0.14630121760184647,-0.06292443118433672,-0.05406587042026866,-0.007829642377430716,0.04996916659694492,-0.2674624960259543,-0.1410961420074387,0.48713330019706347,0.5617598707994051,-0.30954596608835117,0.006491395729671593,0.004871080892714934,0.14994791717837994,-0.07464926032979591,0.06008588426778337,-0.1828064253387466,-0.007829642377430716,-0.2674624960259543,-0.19353335713346395,0.05645014218974483,0.05405537082065116,0.09496571929900116,0.055171672263393146,-0.19247547761147107,,0.5036759848913877,0.08385250545766611,0.16009912220162262,0.11436251909698956,0.4656716511326074,-0.28191413951802274,0.1844165250164744,0.14722621803668579,,0.28799975511897435
Continuous interest rate (after tax),0.8578093460862624,0.888373285358972,0.8774633967800375,0.6051403623355949,0.6032559936863294,0.846879232836516,0.9611761357212167,0.9672247537331308,0.4891364552957556,1.0,-0.08925503325549719,0.10201639714438979,0.47029922276727604,-0.17550456378617216,0.37371155295079916,0.6196280565995063,0.6195914555538079,0.619051907639742,0.875343705476324,0.4530080273885617,0.15829475795794068,0.7319418410191572,0.843455812515075,0.3330193152471989,0.365010044958601,0.44005348449570086,0.4395676658946431,0.44938378737182555,0.21050487538090187,0.5798278566633432,0.43149051382851217,0.29065616509218944,0.31665801428708434,0.3456278060953545,0.18613186349256108,-0.34278105324452823,-0.34185658963714327,0.34185658963714327,0.1841047576706822,-0.347503818506044,-0.07012370287567467,0.7314116084573524,0.8435125303838351,-0.17916449957459007,0.06393809091853139,0.023875241162351964,-0.020398363003455874,-0.027667979993210752,-0.09911819521864293,-0.058985164535656213,0.02494686681655317,0.6939240481505293,-0.06634280613839419,0.2661945769795629,0.12427671031704803,0.06835960120935715,0.22972515795703244,0.3234391567563264,0.28768831534443534,-0.28103678638050444,0.47037671148396354,-0.07198940334333982,0.01657245590781267,0.03865772910989314,0.18781717510799567,-0.3121166103100597,-0.1311501971638112,0.8084922163100373,0.8833914956659518,-0.24051861237985878,-0.07713828352702018,-0.08520899909986694,0.2957191879470318,-0.11118199194135338,0.19124102125490283,-0.10049444999276143,0.03865772910989314,-0.3121166103100597,-0.17455915650925347,0.18638748272360525,0.18702690787932427,0.4295870901966796,0.17974852575104536,-0.31665975350470416,,0.8961724244808146,0.053387733180601166,0.18980692399982727,0.6051333548294544,0.8491141001900528,-0.3349900781839778,0.21930066626237174,0.17048123809993682,,0.34184480970150904
