component,explained_variance_ratio,cumulative_variance
PC1,0.22028620996795914,0.22028620996795914
PC2,0.1183475494187914,0.33863375938675055
PC3,0.07879560828211378,0.41742936766886435
PC4,0.04496463977676222,0.4623940074456266
PC5,0.038140836674474876,0.5005348441201014
PC6,0.03396136450410179,0.5344962086242032
PC7,0.032722771657954126,0.5672189802821573
PC8,0.02723928510759215,0.5944582653897494
PC9,0.024732222360933614,0.6191904877506831
PC10,0.02318396819518276,0.6423744559458658
PC11,0.020656065259184238,0.6630305212050501
PC12,0.01979584773687287,0.682826368941923
PC13,0.0184341107061943,0.7012604796481172
PC14,0.015342217870082577,0.7166026975181998
PC15,0.013708236452185982,0.7303109339703858
PC16,0.012100427163613332,0.7424113611339992
PC17,0.011712804837837562,0.7541241659718367
PC18,0.011165974605420818,0.7652901405772575
PC19,0.010829546987702903,0.7761196875649604
PC20,0.01072631921409995,0.7868460067790604
PC21,0.010199809984076364,0.7970458167631367
PC22,0.01013106737677088,0.8071768841399075
PC23,0.009929427727931338,0.8171063118678389
PC24,0.009716171431868903,0.8268224832997078
PC25,0.009380210320367129,0.8362026936200749
PC26,0.00921753416094947,0.8454202277810244
PC27,0.008924681796417077,0.8543449095774415
PC28,0.008366879596158783,0.8627117891736003
PC29,0.008137580222305898,0.8708493693959062
PC30,0.007939343035659166,0.8787887124315653
PC31,0.007767861549978259,0.8865565739815435
PC32,0.007353999166554315,0.8939105731480979
PC33,0.006852583466593645,0.9007631566146915
PC34,0.006571200271233177,0.9073343568859247
PC35,0.0063849576426820735,0.9137193145286068
PC36,0.006124342759422712,0.9198436572880295
PC37,0.00563855458670945,0.925482211874739
PC38,0.005365541724121973,0.930847753598861
PC39,0.005329339978054805,0.9361770935769158
PC40,0.0049923548868320055,0.9411694484637478
PC41,0.0045971036569287214,0.9457665521206765
PC42,0.00431576983977184,0.9500823219604484
PC43,0.004145405175438016,0.9542277271358864
PC44,0.003719035412073883,0.9579467625479603
PC45,0.0035336009550569047,0.9614803635030172
PC46,0.003029804394424717,0.9645101678974419
PC47,0.00297392098056399,0.967484088878006
PC48,0.002879855977052238,0.9703639448550582
PC49,0.002673993834793745,0.9730379386898519
PC50,0.0024455859185353985,0.9754835246083873
PC51,0.002328825465532331,0.9778123500739196
PC52,0.0022895940579598967,0.9801019441318796
PC53,0.0019083999134867102,0.9820103440453662
PC54,0.0017662037564583218,0.9837765478018246
PC55,0.0016350072925485034,0.9854115550943731
PC56,0.0015055148999758377,0.9869170699943489
PC57,0.0013713929174419234,0.9882884629117908
PC58,0.0013049710508136905,0.9895934339626046
PC59,0.000988258221481157,0.9905816921840858
PC60,0.0009756879763395109,0.9915573801604253
PC61,0.0009395711294171559,0.9924969512898424
PC62,0.0008387586683660968,0.9933357099582085
PC63,0.0007960307426342898,0.9941317407008428
PC64,0.0007318787709116226,0.9948636194717544
PC65,0.0006522865837696964,0.9955159060555241
PC66,0.0005571913348027318,0.9960730973903268
PC67,0.0004962452445868548,0.9965693426349136
PC68,0.0004491252871689538,0.9970184679220826
PC69,0.0003666310786652582,0.9973850990007479
PC70,0.0003537914846087775,0.9977388904853567
PC71,0.0003385553454517188,0.9980774458308084
PC72,0.00030822641576241217,0.9983856722465708
PC73,0.00030089640362051964,0.9986865686501913
PC74,0.0002451258107872849,0.9989316944609786
PC75,0.0002411000442202447,0.9991727945051989
PC76,0.00014796016426059505,0.9993207546694595
PC77,0.00014315035320795728,0.9994639050226675
PC78,0.0001271476486614904,0.999591052671329
PC79,0.00010588155957329154,0.9996969342309022
PC80,9.33539985456424e-05,0.9997902882294478
PC81,5.529577417070002e-05,0.9998455840036186
PC82,4.871612481192082e-05,0.9998943001284305
PC83,3.3083392212598514e-05,0.9999273835206431
PC84,2.310323989631014e-05,0.9999504867605394
PC85,1.977462627511093e-05,0.9999702613868146
PC86,1.5461685822177836e-05,0.9999857230726368
PC87,9.51795716625744e-06,0.9999952410298031
PC88,3.5623654249074534e-06,0.999998803395228
PC89,1.1964428541162715e-06,0.9999999998380821
PC90,1.6191834524466502e-10,1.0000000000000004
PC91,4.2683518590153536e-18,1.0000000000000004
PC92,0.0,1.0000000000000004
PC93,0.0,1.0000000000000004
PC94,0.0,1.0000000000000004
PC95,0.0,1.0000000000000004
