feature,random_forest,xgboost,shap,mean_rank
pca__1,0.14499896118794034,0.6086076031455521,0.16522416424130157,1.0
diff__Borrowing dependency__minus__Retained Earnings to Total Assets,0.11961664590086936,0.08565999098539245,0.12870696445690602,2.0
Total debt/Total net worth,0.04573188164307237,0.01707336510102333,0.07427604031647891,5.666666666666667
Allocation rate per person,0.026908736040665435,0.02233883632288412,0.051722368879017815,7.333333333333333
Retained Earnings to Total Assets,0.037075544525836245,0.01588007251978785,0.04490205651345835,8.0
log__Net Value Growth Rate,0.033200122840190506,0.021616627245143325,0.039866340780494794,9.0
ROA(B) before interest and depreciation after tax,0.02546787273771667,0.015746675446233205,0.0794247485493606,9.333333333333334
Borrowing dependency,0.05656233335859312,0.014309963985975263,0.026639414731601873,11.0
Total income/Total expense,0.037680034977434045,0.013147084678361974,0.04334187322746658,11.0
diff__Net Income to Stockholder's Equity__minus__Total debt/Total net worth,0.10470032374184805,0.01332273679348669,0.03111937584064366,11.0
mul__Net Income to Stockholder's Equity__x__Borrowing dependency,0.03504283773183239,0.025960184003136634,0.016314667805936007,11.333333333333334
mul__Total debt/Total net worth__x__After-tax net Interest Rate,0.026302775810668404,0.02126024171832105,0.019351094911479495,12.333333333333334
Non-industry income and expenditure/revenue,0.025670850121056767,0.013511859559936472,0.046845931354072584,12.333333333333334
pca__7,0.01858989176786375,0.013817338988761781,0.04891611090972979,13.333333333333334
pca__4,0.019318600651943244,0.014915750277429852,0.03947652220687037,13.666666666666666
pca__5,0.019452882291528386,0.015669278805765963,0.03382002079439473,13.666666666666666
diff__Net Income to Stockholder's Equity__minus__Borrowing dependency,0.09959502620384096,0.008608957847530586,0.017137648581945514,14.666666666666666
Debt ratio %,0.03573141492036035,0.014478162725646821,0.0047754032938521086,14.666666666666666
pca__2,0.020392314037320256,0.012330556826955894,0.03913060237131595,15.666666666666666
Net Income to Total Assets,0.03672882722204966,0.011028496931910148,0.00780260344184425,16.333333333333332
pca__6,0.016231912024139903,0.010853099999201298,0.024691451163980957,19.0
pca__3,0.015000210263229815,0.009863132855371578,0.016514564402949405,20.666666666666668
