feature,importance,std
pca__1,0.011056014692378335,0.0015623730394816696
diff__Net Income to Stockholder's Equity__minus__Borrowing dependency,0.010391796755433136,0.0018591104547364843
diff__Borrowing dependency__minus__Retained Earnings to Total Assets,0.00959595959595958,0.0035359563908925083
pca__6,0.005436179981634548,0.001701228428981054
diff__Net Income to Stockholder's Equity__minus__Total debt/Total net worth,0.0049097030915212555,0.001439553200533755
pca__3,0.004049586776859427,0.0015898661764784483
Non-industry income and expenditure/revenue,0.004028160391796742,0.0010835110206356756
Borrowing dependency,0.004003673094582228,0.003153981467173521
ROA(B) before interest and depreciation after tax,0.0036179981634526957,0.004741565344530422
Retained Earnings to Total Assets,0.003569023569023555,0.001563715737777619
pca__5,0.0027854300581573233,0.0010971566240450654
Net Income to Total Assets,0.0027364554637282048,0.0008729987619210865
Total debt/Total net worth,0.0017508417508417472,0.005074818806910341
Allocation rate per person,0.0015977961432506848,0.0038439572913854863
Total income/Total expense,0.0009366391184573609,0.002495467648201531
mul__Net Income to Stockholder's Equity__x__Borrowing dependency,-0.00018977655341296807,0.001235395672137993
pca__4,-0.0002754820936639035,0.0005382333551351764
pca__2,-0.00040404040404040664,0.0020654603366045622
mul__Total debt/Total net worth__x__After-tax net Interest Rate,-0.0009856137128864129,0.0009171301930848937
Debt ratio %,-0.0011876339149066162,0.005085294469756496
pca__7,-0.0023630241812060194,0.001171877722671712
log__Net Value Growth Rate,-0.005754514845423863,0.002421256969558238
