feature,importance,std
pca__1,0.07699418426691156,0.011105883563611512
diff__Net Income to Stockholder's Equity__minus__Borrowing dependency,0.03491582491582486,0.008297040395245182
Retained Earnings to Total Assets,0.02239057239057234,0.006662840130987486
diff__Borrowing dependency__minus__Retained Earnings to Total Assets,0.02107131925313732,0.004461445104479448
pca__6,0.01633914906642171,0.0022421803088024327
pca__2,0.012895622895622783,0.009469413475518995
pca__3,0.012078359351086521,0.012362002192929404
Non-industry income and expenditure/revenue,0.009987756351392619,0.007971749486843087
Net Income to Total Assets,0.0050596877869604874,0.006321503200417194
pca__4,0.0041444750535659216,0.010953440669211367
ROA(B) before interest and depreciation after tax,0.0023201714110803184,0.005795056117576965
Debt ratio %,0.0007652280379552012,0.01168353416104159
diff__Net Income to Stockholder's Equity__minus__Total debt/Total net worth,-0.0006795224977044434,0.0069458403077695755
pca__7,-0.0022926232017142167,0.004822645588434402
Total income/Total expense,-0.0023507805325988064,0.0008443680269148389
mul__Total debt/Total net worth__x__After-tax net Interest Rate,-0.0025374961738598768,0.009858771822831073
Total debt/Total net worth,-0.0034955616773799216,0.01083167937507312
pca__5,-0.005120906029997041,0.013548758980601148
log__Net Value Growth Rate,-0.005757575757575894,0.010427429326680442
mul__Net Income to Stockholder's Equity__x__Borrowing dependency,-0.008423630241812186,0.008597745356739172
Allocation rate per person,-0.009397000306091297,0.017452300040015876
Borrowing dependency,-0.010232629323538545,0.005934125900348651
