feature,importance,std
pca__1,0.15065809611264172,0.009097203939556995
ROA(B) before interest and depreciation after tax,0.03870217324762788,0.0065725303875315
Total income/Total expense,0.027731864095500568,0.010137822375089449
pca__2,0.024462809917355454,0.006452919723572378
Debt ratio %,0.017985919804101712,0.0035153666573215538
diff__Borrowing dependency__minus__Retained Earnings to Total Assets,0.015524946434037434,0.002948241602433219
pca__7,0.0035200489745945253,0.0023973801832258422
Borrowing dependency,0.0033914906642180443,0.0006924430081262159
diff__Net Income to Stockholder's Equity__minus__Borrowing dependency,0.0029813284358739534,0.0004387259961351665
Total debt/Total net worth,0.001591674318947156,0.001150349266671983
Non-industry income and expenditure/revenue,0.0002265074992348959,0.0009755814196198099
Allocation rate per person,0.0002265074992348737,0.0007841194286544176
mul__Total debt/Total net worth__x__After-tax net Interest Rate,0.00014080195898384938,0.0005091061618926514
Retained Earnings to Total Assets,8.570554025106869e-05,7.3461891643678e-05
pca__6,3.6730945821950026e-05,2.2905769126246224e-05
log__Net Value Growth Rate,-0.00026936026936017485,0.00030694707405500867
mul__Net Income to Stockholder's Equity__x__Borrowing dependency,-0.0006305479032751027,0.0009622370605376599
pca__5,-0.0006917661463115455,0.00047679540810820746
diff__Net Income to Stockholder's Equity__minus__Total debt/Total net worth,-0.0007713498622588411,0.00482224925163554
pca__4,-0.0009672482399754045,0.0021412912813813796
pca__3,-0.0016590143862870166,0.000561541832652287
Net Income to Total Assets,-0.004866850321395643,0.0014038879507273236
