feature,importance,std
pca__1,0.15508417508417513,0.02142495600639069
diff__Borrowing dependency__minus__Retained Earnings to Total Assets,0.04525252525252528,0.005371062716457323
diff__Net Income to Stockholder's Equity__minus__Borrowing dependency,0.03521885521885526,0.004689437294123837
Net Income to Total Assets,0.03089684726048365,0.0062105175894047
diff__Net Income to Stockholder's Equity__minus__Total debt/Total net worth,0.022448729721457016,0.00348000808891261
mul__Net Income to Stockholder's Equity__x__Borrowing dependency,0.01541475359657185,0.011344924762470848
pca__3,0.012200795837159472,0.004720343375442546
pca__5,0.011337618610345879,0.005435394014939921
Total income/Total expense,0.007107438016528955,0.00371042149933479
Non-industry income and expenditure/revenue,0.006317722681359083,0.004758221167868618
Total debt/Total net worth,0.005246403428221668,0.004081774270588735
Retained Earnings to Total Assets,0.004707682889501075,0.002691333880455807
Borrowing dependency,0.003685338230792823,0.0007151276080899248
Debt ratio %,0.003164983164983215,0.0015080825597373624
pca__7,0.0024548515457606833,0.002583845020266256
Allocation rate per person,0.0024058769513315426,0.0011453866196879574
pca__6,0.002399755127027925,0.0029504144774822874
pca__4,0.001524334251607029,0.006518935212399035
mul__Total debt/Total net worth__x__After-tax net Interest Rate,0.0006121824303642942,0.002326051571872357
pca__2,-0.0027854300581572787,0.006701314750493174
log__Net Value Growth Rate,-0.0033057851239669312,0.0012675281201362614
ROA(B) before interest and depreciation after tax,-0.003911845730027541,0.002202529954658365
