feature,importance,std
Total income/Total expense,0.01851851851851851,0.007813568092924796
Debt ratio %,0.0051637588001224085,0.0023680977869010304
log__Net Value Growth Rate,0.004416896235078039,0.0009847197492626805
diff__Net Income to Stockholder's Equity__minus__Borrowing dependency,0.0037312519130701105,0.0013026114364859994
ROA(B) before interest and depreciation after tax,0.0036608509335781967,0.0012023736709828865
diff__Net Income to Stockholder's Equity__minus__Total debt/Total net worth,0.003569023569023577,0.0011656570784609297
mul__Net Income to Stockholder's Equity__x__Borrowing dependency,0.003385368839914249,0.0015037897240527073
Net Income to Total Assets,0.003360881542699712,0.0013935254304722987
pca__1,0.00306397306397308,0.0012847957709746906
diff__Borrowing dependency__minus__Retained Earnings to Total Assets,0.0019712274257728925,0.001284978066845647
Borrowing dependency,0.0018181818181818299,0.0008932620657703019
Total debt/Total net worth,0.001059075604530113,0.0010103977822282714
mul__Total debt/Total net worth__x__After-tax net Interest Rate,0.0010498928680746644,0.0005819437223558822
pca__4,0.0008172635445362619,0.0011922085835608706
Allocation rate per person,0.0006397306397306179,0.001300307762499097
Non-industry income and expenditure/revenue,0.0006366697275788091,0.0010652502018739564
pca__5,0.0003122130394857425,0.0010807490888067846
Retained Earnings to Total Assets,0.00029996939087846287,0.000903441068223505
pca__2,0.00011325374961732582,0.0009498499173761996
pca__6,-0.00027854300581575675,0.0006674192431420042
pca__3,-0.0006611570247934573,0.0004177219983895331
pca__7,-0.0010988674625038498,0.0004123038442725623
