feature,importance,std
pca__1,0.020550964187327915,0.0017024671215661652
diff__Net Income to Stockholder's Equity__minus__Borrowing dependency,0.016091215182124353,0.002700005607450229
diff__Net Income to Stockholder's Equity__minus__Total debt/Total net worth,0.013458830731558135,0.0038585538555798056
diff__Borrowing dependency__minus__Retained Earnings to Total Assets,0.008215488215488276,0.007977681360705485
ROA(B) before interest and depreciation after tax,0.006700336700336806,0.005428477433716693
pca__6,0.005047444138353274,0.0011551202778979175
Non-industry income and expenditure/revenue,0.004606672788491029,0.0013591966537650508
Retained Earnings to Total Assets,0.003119069482705883,0.002236213680910562
Total debt/Total net worth,0.0013284358738905543,0.008887022000204218
Borrowing dependency,0.0012519130700949788,0.007005801396749842
Allocation rate per person,0.00033057851239670644,0.008733429825159808
pca__2,-1.5304560759044072e-05,0.006182337890609422
pca__4,-0.00046219773492495175,0.005055922741874567
pca__7,-0.004499540863177121,0.004814757410207834
pca__3,-0.004701561065197368,0.007040340156331796
mul__Total debt/Total net worth__x__After-tax net Interest Rate,-0.004778083868992922,0.0033637238111637515
Debt ratio %,-0.005176002448729622,0.010951100997699784
mul__Net Income to Stockholder's Equity__x__Borrowing dependency,-0.005938169574533148,0.003612278385741794
pca__5,-0.006253443526170699,0.006002452631953938
Total income/Total expense,-0.0063422099785734876,0.005512486086945868
Net Income to Total Assets,-0.007095194367921542,0.0064247999212538875
log__Net Value Growth Rate,-0.012402816039179587,0.0057952824587902485
