feature,importance,std
pca__1,0.08199571472298743,0.004321782502870976
diff__Net Income to Stockholder's Equity__minus__Borrowing dependency,0.029078665442301775,0.0026745436976103047
diff__Net Income to Stockholder's Equity__minus__Total debt/Total net worth,0.027719620446893134,0.0017594894117506186
mul__Net Income to Stockholder's Equity__x__Borrowing dependency,0.015016835016834951,0.0038159938930310846
pca__5,0.009703091521273332,0.004624915701746825
ROA(B) before interest and depreciation after tax,0.009647995102540552,0.003687676392043209
diff__Borrowing dependency__minus__Retained Earnings to Total Assets,0.009488827670645761,0.0030421832893684593
Total income/Total expense,0.009476584022038548,0.00531431474108736
Allocation rate per person,0.007927762473217026,0.004477016976282353
pca__4,0.00788490970309148,0.0019421336848575636
mul__Total debt/Total net worth__x__After-tax net Interest Rate,0.006966636057545128,0.002305628903663986
pca__7,0.0065381083562902065,0.0020747114553626126
Retained Earnings to Total Assets,0.004879093970003035,0.0026232285014199637
Borrowing dependency,0.002816039179675478,0.0020194598445633185
Net Income to Total Assets,0.0027425772880318223,0.0033663131997103864
Total debt/Total net worth,0.0022956841138659367,0.0005801215912081637
pca__6,0.0011937557392102782,0.001092535555407079
Debt ratio %,0.0011937557392102116,0.0025283208488030623
pca__2,-0.0011937557392103005,0.006792246139326919
Non-industry income and expenditure/revenue,-0.001689623507805349,0.0031647167300803804
pca__3,-0.00437098255280075,0.0014829985124433745
log__Net Value Growth Rate,-0.004487297214569997,0.0032614791019330157
