feature,importance,std
ROA(B) before interest and depreciation after tax,0.03341291704928071,0.005828819070085835
pca__1,0.031680440771349926,0.003875844885624677
diff__Borrowing dependency__minus__Retained Earnings to Total Assets,0.018879706152433416,0.004497578952975791
Non-industry income and expenditure/revenue,0.013676155494337316,0.0007390439120209586
Retained Earnings to Total Assets,0.012990511172329411,0.0029368554864111387
pca__6,0.010376492194674047,0.0030644607529210386
pca__2,0.01000306091215184,0.003451829597115041
diff__Net Income to Stockholder's Equity__minus__Total debt/Total net worth,0.005668809305172951,0.0023369337626957536
Total debt/Total net worth,0.00492194674012858,0.002619997764776589
log__Net Value Growth Rate,0.004156718702173245,0.004814704869798195
Total income/Total expense,0.0030915212733394703,0.0015611252141604563
Borrowing dependency,0.002962962962963012,0.0005521193210105541
mul__Total debt/Total net worth__x__After-tax net Interest Rate,0.0020385674931129305,0.0014094295651234734
diff__Net Income to Stockholder's Equity__minus__Borrowing dependency,0.0018181818181818299,0.0008574051496791935
pca__5,0.001683501683501687,0.0020482969114565823
Debt ratio %,0.0008876645240281534,0.0004988441698797781
pca__4,0.00015916743189474668,0.002203975781569363
pca__3,-0.0019834710743801497,0.002827819015683851
mul__Net Income to Stockholder's Equity__x__Borrowing dependency,-0.0030303030303030277,0.0012421421374255385
Net Income to Total Assets,-0.0033057851239669755,0.002011464161647406
pca__7,-0.004707682889501052,0.003780810142454613
Allocation rate per person,-0.004977043158861294,0.008650304540737782
